epochs;LSTMLayers;LSTMDims;ReLULayers;ReLUDims;L2;totalAcc;f1;For;Against;Neutral
300;1;200;1;100;0;0,7389;0,5534;0,9419;0,04;0,7391
300;1;200;1;200;0,0001;0,7389;0,5527;0,9302;0,04;0,7536
300;1;200;1;200;0,0003;0,7333;0,5254;0,9302;0;0,7536
300;1;100;1;100;0;0,7278;0,5205;0,9419;0;0,7246
300;1;200;1;100;0,0001;0,7278;0,52;0,9535;0;0,7101
300;1;200;1;100;0,0003;0,7278;0,5205;0,9419;0;0,7246
300;1;200;2;50;0,0003;0,7278;0,522;0,9186;0;0,7536
300;1;100;2;100;0,0001;0,7222;0,5199;0,9419;0;0,7101
300;1;200;1;50;0,0001;0,7222;0,5161;0,9419;0;0,7101
300;1;200;1;50;0,0003;0,7222;0,5147;0,9419;0;0,7101
300;1;200;1;200;0;0,7222;0,5161;0,9419;0;0,7101
100;1;50;1;200;0,0003;0,7167;0,5122;0,8837;0;0,7681
300;1;50;1;100;0;0,7167;0,5754;0,8256;0,12;0,7971
300;1;200;1;50;0;0,7167;0,517;0,8837;0;0,7681
300;1;100;1;50;0;0,7111;0,5141;0,9302;0;0,6957
300;1;100;1;100;0,0003;0,7111;0,5165;0,8837;0;0,7536
300;1;100;2;50;0,0003;0,7111;0,534;0,8953;0,04;0,7246
300;1;200;2;50;0,0001;0,7111;0,5096;0,8605;0;0,7826
300;1;200;2;100;0,0001;0,7111;0,5128;0,9419;0;0,6812
300;1;50;1;100;0,0001;0,7056;0,5276;0,8721;0,04;0,7391
300;1;100;1;50;0,0003;0,7056;0,5037;0,9186;0;0,6957
300;1;100;1;200;0;0,7056;0,5018;0,9535;0;0,6522
300;1;100;2;200;0,0003;0,7056;0,5193;0,9186;0;0,6957
300;1;200;2;200;0,0001;0,7056;0,5108;0,9302;0;0,6812
300;1;50;1;50;0,0003;0,7;0,501;0,8837;0;0,7246
300;1;100;1;50;0,0001;0,7;0,5023;0,9419;0;0,6522
300;1;100;2;50;0,0001;0,7;0,5009;0,9419;0;0,6522
300;1;50;2;50;0;0,6944;0,5211;0,8837;0,04;0,6957
300;1;100;2;50;0;0,6944;0,5443;0,8256;0,08;0,7536
300;1;200;2;100;0,0003;0,6944;0,5026;0,9419;0;0,6377
300;1;200;2;50;0;0,6778;0,4844;0,814;0;0,7536
300;1;50;2;50;0,0001;0,6667;0,5217;0,814;0,08;0,6957
300;1;50;2;100;0;0,6667;0,5129;0,7791;0,04;0,7536
300;1;50;1;200;0,0001;0,6611;0,4884;0,9302;0,04;0,5507
300;1;50;1;200;0,0003;0,6611;0,5301;0,9302;0,16;0,5072
300;1;50;1;50;0;0,6556;0,4881;0,8605;0,04;0,6232
300;1;100;1;100;0,0001;0,65;0,4776;0,9419;0,04;0,5072
300;1;100;1;200;0,0001;0,65;0,4535;0,9535;0;0,5072
100;1;50;1;200;0;0,6444;0,4617;0,6628;0;0,8551
300;1;100;1;200;0,0003;0,6444;0,4543;0,9535;0;0,4928
300;1;200;2;200;0,0003;0,6444;0,4764;0,907;0;0,5507
400;1;200;1;200;0,0003;0,6444;0,4997;0,8488;0,08;0,5942
100;1;50;1;200;0,0001;0,6389;0,4578;0,6628;0;0,8406
300;1;200;2;100;0;0,6389;0,4679;0,9302;0;0,5072
300;1;100;2;100;0,0003;0,6333;0,4755;0,8953;0,04;0,5217
400;1;200;1;100;0,0001;0,6278;0,454;0,9535;0,04;0,4348
300;1;200;2;200;0;0,6167;0,4418;0,9186;0;0,4638
100;1;100;1;200;0,0001;0,6111;0,437;0,5698;0;0,8841
300;1;50;1;100;0,0003;0,6056;0,422;0,9186;0;0,4348
300;1;100;2;200;0,0001;0,6056;0,4626;0,907;0,08;0,4203
400;1;200;1;200;0,0001;0,6056;0,4119;0,9419;0;0,4058
400;1;200;1;200;0;0,6;0,4208;0,8488;0;0,5072
400;1;200;1;100;0,0003;0,5944;0,4012;0,9651;0;0,3478
300;1;50;2;200;0,0001;0,5889;0,4895;0,5116;0,16;0,8406
400;1;200;1;100;0;0,5833;0,3927;0,9302;0;0,3623
300;1;100;2;100;0;0,5778;0,4363;0,8488;0,04;0,4348
300;1;50;2;100;0,0003;0,5667;0,4151;0,8488;0;0,4203
300;1;50;2;200;0;0,5667;0,4038;0,8953;0,04;0,3478
300;1;50;1;50;0,0001;0,55;0,4098;0,8605;0,08;0,3333
300;1;100;2;200;0;0,55;0,3776;0,9651;0,08;0,2029
500;1;200;1;100;0,0003;0,55;0,376;0,8488;0;0,3768
