epochs,LSTMLayers,LSTMDims,ReLULayers,ReLUDims,L2,totalAcc,f1,For,Against,Neutral
1,1,50,1,50,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,1,50,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,1,50,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,1,100,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,1,100,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,1,100,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,1,200,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,1,200,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,1,200,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,2,50,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,2,50,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,2,50,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,2,100,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,2,100,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,2,100,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,2,200,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,2,200,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,50,2,200,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,1,50,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,1,50,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,1,50,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,1,100,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,1,100,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,1,100,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,1,200,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,1,200,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,1,200,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,2,50,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,2,50,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,2,50,0.0003,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,2,100,0.0000,0.3833,0.1847,0.0000,0.0000,1.0000
1,1,100,2,100,0.0001,0.3833,0.1847,0.0000,0.0000,1.0000
