"quoteID";"quote";"politician";"date";"party";"articleID";"topic";"fan";"articleText"
"1";"Vi skal gennemføre en hurtig og rettidig grøn omstilling i overensstemmelse med videnskabens anbefalinger. Det, synes vi, er rigtig stærkt, fordi skal komme i mål i forhold til klimaindsatsen i Danmark";"Carolina Magdalene Maier";"10/04/2018";"Alternativet";"1";"integration";"";"Oppositionen er enig i, at videnskaben afgør, hvor hurtigt vi skal omstille klimaet. Desuden skal uddannelsesloet væk.Det er de fem oppositionspartier - Socialdemokratiet, SF, Enhedslisten, De Radikale og Alternativet - enige om i et fælles forslag til vedtagelse. Debatten åbner torsdag klokken ni i folketingssalen.Det siger Alternativets politiske ordfører, Carolina Magdalene Maier.Vi skal gennemføre en hurtig og rettidig grøn omstilling i overensstemmelse med videnskabens anbefalinger. Det, synes vi, er rigtig stærkt, fordi skal komme i mål i forhold til klimaindsatsen i DanmarkIntegration indgår også i teksten. Oppositionen kritiserer, at myndighederne udbetaler kontante ydelser til udlændinge, som har fået opholdstilladelse, for at lade deres familie blive i hjemlandet, siger hun.Det er ikke noget, der gavner integrationen. Så siger teksten, at vi skal afskae uddannelsesloet og fjerne omprioriteringsbidraget til uddannelse. For os er det vigtigt med den grønne dagsordenSpørgsmål: Giver I regeringen baghjul om klima, når de vil fjerne benzin- og dieselbiler?Vi giver den baghjul, fordi vi i vedtagelsen gennemfører en hurtig og rettidig grøn omstilling eer videnskabens anbefalinger. Det er det helt centrale, fordi vi er bagud i DanmarkSelv om Alternativet står bag den fælles tekst, går partiet alene til valg, fastslår den politiske ordfører.- Intet i dette forandrer vores position ved valget. Vi peger på os selv som regeringsparti. Vi peger på Ue Elbæk som statsminister. Og vi går til valg på vores egen politik, siger hun.- Det handler ikke om, at rød blok - eller oppositionen - lige pludselig er blevet forenet henimod et folketingsvalg. Det handler om, at vi samarbejder om en tekst. The client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
"2";"Det er ikke noget, der gavner integrationen. Så siger teksten, at vi skal afskae uddannelsesloet og fjerne omprioriteringsbidraget til uddannelse. For os er det vigtigt med den grønne dagsorden";"Carolina Magdalene Maier";"10/04/2018";"Alternativet";"1";"integration";"";"Oppositionen er enig i, at videnskaben afgør, hvor hurtigt vi skal omstille klimaet. Desuden skal uddannelsesloet væk.Det er de fem oppositionspartier - Socialdemokratiet, SF, Enhedslisten, De Radikale og Alternativet - enige om i et fælles forslag til vedtagelse. Debatten åbner torsdag klokken ni i folketingssalen.Det siger Alternativets politiske ordfører, Carolina Magdalene Maier.Vi skal gennemføre en hurtig og rettidig grøn omstilling i overensstemmelse med videnskabens anbefalinger. Det, synes vi, er rigtig stærkt, fordi skal komme i mål i forhold til klimaindsatsen i DanmarkIntegration indgår også i teksten. Oppositionen kritiserer, at myndighederne udbetaler kontante ydelser til udlændinge, som har fået opholdstilladelse, for at lade deres familie blive i hjemlandet, siger hun.Det er ikke noget, der gavner integrationen. Så siger teksten, at vi skal afskae uddannelsesloet og fjerne omprioriteringsbidraget til uddannelse. For os er det vigtigt med den grønne dagsordenSpørgsmål: Giver I regeringen baghjul om klima, når de vil fjerne benzin- og dieselbiler?Vi giver den baghjul, fordi vi i vedtagelsen gennemfører en hurtig og rettidig grøn omstilling eer videnskabens anbefalinger. Det er det helt centrale, fordi vi er bagud i DanmarkSelv om Alternativet står bag den fælles tekst, går partiet alene til valg, fastslår den politiske ordfører.- Intet i dette forandrer vores position ved valget. Vi peger på os selv som regeringsparti. Vi peger på Ue Elbæk som statsminister. Og vi går til valg på vores egen politik, siger hun.- Det handler ikke om, at rød blok - eller oppositionen - lige pludselig er blevet forenet henimod et folketingsvalg. Det handler om, at vi samarbejder om en tekst. The client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
"3";"Vi giver den baghjul, fordi vi i vedtagelsen gennemfører en hurtig og rettidig grøn omstilling eer videnskabens anbefalinger. Det er det helt centrale, fordi vi er bagud i Danmark";"Carolina Magdalene Maier";"10/04/2018";"Alternativet";"1";"integration";"";"Oppositionen er enig i, at videnskaben afgør, hvor hurtigt vi skal omstille klimaet. Desuden skal uddannelsesloet væk.Det er de fem oppositionspartier - Socialdemokratiet, SF, Enhedslisten, De Radikale og Alternativet - enige om i et fælles forslag til vedtagelse. Debatten åbner torsdag klokken ni i folketingssalen.Det siger Alternativets politiske ordfører, Carolina Magdalene Maier.Vi skal gennemføre en hurtig og rettidig grøn omstilling i overensstemmelse med videnskabens anbefalinger. Det, synes vi, er rigtig stærkt, fordi skal komme i mål i forhold til klimaindsatsen i DanmarkIntegration indgår også i teksten. Oppositionen kritiserer, at myndighederne udbetaler kontante ydelser til udlændinge, som har fået opholdstilladelse, for at lade deres familie blive i hjemlandet, siger hun.Det er ikke noget, der gavner integrationen. Så siger teksten, at vi skal afskae uddannelsesloet og fjerne omprioriteringsbidraget til uddannelse. For os er det vigtigt med den grønne dagsordenSpørgsmål: Giver I regeringen baghjul om klima, når de vil fjerne benzin- og dieselbiler?Vi giver den baghjul, fordi vi i vedtagelsen gennemfører en hurtig og rettidig grøn omstilling eer videnskabens anbefalinger. Det er det helt centrale, fordi vi er bagud i DanmarkSelv om Alternativet står bag den fælles tekst, går partiet alene til valg, fastslår den politiske ordfører.- Intet i dette forandrer vores position ved valget. Vi peger på os selv som regeringsparti. Vi peger på Ue Elbæk som statsminister. Og vi går til valg på vores egen politik, siger hun.- Det handler ikke om, at rød blok - eller oppositionen - lige pludselig er blevet forenet henimod et folketingsvalg. Det handler om, at vi samarbejder om en tekst. The client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
"4";"Derfor er ministerens udmelding et klart signal om, at regeringen fortsat agter at lade stå til";"Jakob Sølvhøj";"08/29/2018";"Alternativet";"9";"integration";"";"Undervisningsminister Merete Riisager (LA) vil lade det være op til gymnasierne selv at fastlægge de kriterier, som tosprogede elever fordeles eer.Det skriver DR.Forslaget skal ifølge ministeren sikre bedre fordeling af tosprogede elever i gymnasierne.- En af de faglige udfordringer er, at nogle elever med migrantbaggrund har dårlige sproglige forudsætninger, selv om de er kommet i gymnasiet. Derfor er sprog en faglig faktor, som man kan bruge til at fordele på, siger Merete Riisager til DR.Også karakterer kan være et kriterie, som gymnasierne fordeler elever ud fra.Forslaget bliver ikke mødt med roser fra Folketingets øvrige partier og gymnasierne, der stempler det som værdiløst.- Det er ikke noget særligt godt forslag. Det er nogle små ændringer, som ikke har nogen større betydning, og de er midlertidige, siger undervisningsordfører for Dansk Folkeparti Marie Krarup til DR.DF vil i stedet lave gymnasiedistrikter, som dækker ""de blandede boligområder"".  - Så ved man på forhånd, hvor man ender, og man ved, at det ikke er et gymnasie, der er hundrede procent præget af den ene eller anden kultur, siger hun.Socialdemokratiet deler kritikken og kalder forslaget ""fuldstændig ubrugeligt"".- Det her forslag betyder, at bare én skole har vetoret, og det betyder, at hvis man ikke er enige, når én skole siger fra, så bliver der ingen løsning, siger undervisningsordfører Annette Lind til DR.Enhedslisten er også ude med riven mod ministeren.- Det har jo længe været en klar melding fra mange rektorer, at det ikke er muligt for gymnasierne selv at løse de store problemer, der er med en skæv elevfordeling.  Derfor er ministerens udmelding et klart signal om, at regeringen fortsat agter at lade stå tilPå Hvidovre Gymnasium har hver anden elev indvandrerbaggrund.Her dumper rektor Kirsten Jensen undervisningsministerens udspil, som hun ikke mener vil føre til nogen som helst forandring i elevfordelingen.- Forslaget er et tomt slag i luen. Det kommer ikke til at have nogen eekt, for vi gymnasier vil aldrig kunne blive enige, siger hun til DR.The client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
"5";"Vi skal komme med et svar på Europas udfordringer med et mere solidarisk Europa";"Rasmus Nordqvist";"06/16/2018";"Alternativet";"11";"integration";"";"AllingeAlternativet opstiller næste år til EU-Parlamentet på den tværnationale europæiske liste, European Spring (Europæisk forår).Her deltager Grækenlands tidligere finansminister, Yanis Varoufakis. Han blev tvunget til at træde tilbage, da han ikke ville gennemføre EU's spareplaner, som skulle redde Grækenland fra en statsbankerot.Det oplyser Alternativets EU-ordfører, Rasmus Nordqvist. Han præsenterer lørdag listen ved Folkemødet i Allinge på Bornholm sammen med Yanis Varoufakis.Vi skal komme med et svar på Europas udfordringer med et mere solidarisk EuropaGrunden til listen blev lagt 10. marts i år, da en række europæiske politikere mødtes i Napoli. De har skrevet et fælles manifest om vejen til et ""demokratisk, bæredygtigt, lige og ambitiøst Europa"".  Listen opstiller kandidater til EU-Parlamentet i maj 2019. I juni rejser partier fra EU- lande bag listen på rundtur i Europa for at præsentere det fælles politiske program. Folkemødet er det andet stop på den europæiske turné.Listen vil sammen med græsrødder danne en forfatningsforsamling, som skal skabe et grundlag for en ny EU-forfatning i 2025.Listen vil garantere, at alle EU-borgere får en mindsteløn, skabe et initiativ mod fattigdom samt sikre job, som samordnes af lokale myndigheder. Det skal forhindre, at folk flytter fra det fattige Sydeuropa til det rige Nordeuropa.  Listen vil årligt investere 500 milliarder euro (3750 milliarder kroner) i grøn energi samt omstille industri, transport og landbrug. Processen skal styres af en europæisk styrelse med ansvar for en overgang til grøn økonomi.Grænserne skal åbnes for alle flygtninge og migranter. EU skal opsige aalen med Tyrkiet, som skal stoppe bådture til Grækenland, flygtningecentre skal lukkes, ogasylansøgere må bosætte sig, hvor de har familie.Europa har en fælles udfordring med flygtninge og migranter. Vi må have et fælles asylsystemSpørgsmål: Det er upopulært i flere EU-lande?Vi skal ikke tie stille, fordi det er en svær dagsorden. Vi tror ikke, at man løser problemet ved at lukke EU's grænserThe client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
"6";"Europa har en fælles udfordring med flygtninge og migranter. Vi må have et fælles asylsystem";"Rasmus Nordqvist";"06/16/2018";"Alternativet";"11";"integration";"";"AllingeAlternativet opstiller næste år til EU-Parlamentet på den tværnationale europæiske liste, European Spring (Europæisk forår).Her deltager Grækenlands tidligere finansminister, Yanis Varoufakis. Han blev tvunget til at træde tilbage, da han ikke ville gennemføre EU's spareplaner, som skulle redde Grækenland fra en statsbankerot.Det oplyser Alternativets EU-ordfører, Rasmus Nordqvist. Han præsenterer lørdag listen ved Folkemødet i Allinge på Bornholm sammen med Yanis Varoufakis.Vi skal komme med et svar på Europas udfordringer med et mere solidarisk EuropaGrunden til listen blev lagt 10. marts i år, da en række europæiske politikere mødtes i Napoli. De har skrevet et fælles manifest om vejen til et ""demokratisk, bæredygtigt, lige og ambitiøst Europa"".  Listen opstiller kandidater til EU-Parlamentet i maj 2019. I juni rejser partier fra EU- lande bag listen på rundtur i Europa for at præsentere det fælles politiske program. Folkemødet er det andet stop på den europæiske turné.Listen vil sammen med græsrødder danne en forfatningsforsamling, som skal skabe et grundlag for en ny EU-forfatning i 2025.Listen vil garantere, at alle EU-borgere får en mindsteløn, skabe et initiativ mod fattigdom samt sikre job, som samordnes af lokale myndigheder. Det skal forhindre, at folk flytter fra det fattige Sydeuropa til det rige Nordeuropa.  Listen vil årligt investere 500 milliarder euro (3750 milliarder kroner) i grøn energi samt omstille industri, transport og landbrug. Processen skal styres af en europæisk styrelse med ansvar for en overgang til grøn økonomi.Grænserne skal åbnes for alle flygtninge og migranter. EU skal opsige aalen med Tyrkiet, som skal stoppe bådture til Grækenland, flygtningecentre skal lukkes, ogasylansøgere må bosætte sig, hvor de har familie.Europa har en fælles udfordring med flygtninge og migranter. Vi må have et fælles asylsystemSpørgsmål: Det er upopulært i flere EU-lande?Vi skal ikke tie stille, fordi det er en svær dagsorden. Vi tror ikke, at man løser problemet ved at lukke EU's grænserThe client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
"7";"Vi skal ikke tie stille, fordi det er en svær dagsorden. Vi tror ikke, at man løser problemet ved at lukke EU's grænser";"Rasmus Nordqvist";"06/16/2018";"Alternativet";"11";"integration";"";"AllingeAlternativet opstiller næste år til EU-Parlamentet på den tværnationale europæiske liste, European Spring (Europæisk forår).Her deltager Grækenlands tidligere finansminister, Yanis Varoufakis. Han blev tvunget til at træde tilbage, da han ikke ville gennemføre EU's spareplaner, som skulle redde Grækenland fra en statsbankerot.Det oplyser Alternativets EU-ordfører, Rasmus Nordqvist. Han præsenterer lørdag listen ved Folkemødet i Allinge på Bornholm sammen med Yanis Varoufakis.Vi skal komme med et svar på Europas udfordringer med et mere solidarisk EuropaGrunden til listen blev lagt 10. marts i år, da en række europæiske politikere mødtes i Napoli. De har skrevet et fælles manifest om vejen til et ""demokratisk, bæredygtigt, lige og ambitiøst Europa"".  Listen opstiller kandidater til EU-Parlamentet i maj 2019. I juni rejser partier fra EU- lande bag listen på rundtur i Europa for at præsentere det fælles politiske program. Folkemødet er det andet stop på den europæiske turné.Listen vil sammen med græsrødder danne en forfatningsforsamling, som skal skabe et grundlag for en ny EU-forfatning i 2025.Listen vil garantere, at alle EU-borgere får en mindsteløn, skabe et initiativ mod fattigdom samt sikre job, som samordnes af lokale myndigheder. Det skal forhindre, at folk flytter fra det fattige Sydeuropa til det rige Nordeuropa.  Listen vil årligt investere 500 milliarder euro (3750 milliarder kroner) i grøn energi samt omstille industri, transport og landbrug. Processen skal styres af en europæisk styrelse med ansvar for en overgang til grøn økonomi.Grænserne skal åbnes for alle flygtninge og migranter. EU skal opsige aalen med Tyrkiet, som skal stoppe bådture til Grækenland, flygtningecentre skal lukkes, ogasylansøgere må bosætte sig, hvor de har familie.Europa har en fælles udfordring med flygtninge og migranter. Vi må have et fælles asylsystemSpørgsmål: Det er upopulært i flere EU-lande?Vi skal ikke tie stille, fordi det er en svær dagsorden. Vi tror ikke, at man løser problemet ved at lukke EU's grænserThe client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
"8";"Vi skal tage til os, at vi er et rigt og ressourcestærkt land. Der er en særlig forpligtelse for lande, der har det så godt, som vi har det, til at yde mere";"Ue Elbæk";"05/06/2018";"Alternativet";"14";"integration";"";"OdenseUdviklingsbistanden skal mere end fordobles fra de nuværende 16 milliarder kroner årligt. Og så skal Danmark tage imod flere flygtninge.Sådan lyder nogle af visionerne i Ue Elbæks oplæg ""Det næste Danmark"", som blev præsenteret op til Alternativets landsmøde i denne weekend.  Der er tale om visioner, men Ue Elbæk lægger ikke skjul på, at der bag visionerne ligger konkret politisk afstand til den udlændingepolitik, som Socialdemokratiet fører.Derfor er Alternativet fortsat usikre på, om man vil pege på Mette Frederiksen (S) som Danmarks næste statsminister.  Det fastslår Ue Elbæk i forbindelse med Alternativets landsmøde i Odense. Mens Socialdemokratiet har præsenteret et udspil, der helt skal stoppe spontan asylsøgning i Danmark, lægger Ue Elbæk op til, at Danmark skal være en ""humanitær stormagt"":Vi skal tage til os, at vi er et rigt og ressourcestærkt land. Der er en særlig forpligtelse for lande, der har det så godt, som vi har det, til at yde mereHan mener, at Danmark fremover bør tage imod endnu flere asylansøgere: - Når jeg kigger på et land som Libanon, som har taget 1,5 millioner flygtninge, selv om de er på størrelse med Danmark, så har jeg det sådan: Hey, Danmark, vi kan gøre det bedre.Spørgsmål: Hidtil har Sverige været den erklærede humanitære stormagt. Men den svenske statsminister, Stefan Löfven, sagde i denne uge, at Sverige tog for mange asylansøgere sidste år, og at antallet skal ned. Hvad siger du til, at det land, som har holdt denne fane højt, siger, at det kan vi ikke magte længere?- Jeg har da respekt for, at de prøver at finde et andet niveau for det antal, de kan tage ind. Jeg er ikke naiv.  - Jeg har det sådan, at selvfølgelig skal vi være parate til at tage godt i mod dem, der kommer, og vi skal ikke være dumnaive.  Men i forhold til det antal, vi tager i dag, som nærmest er ikke eksisterende, så mener jeg helt sikkert godt, at vi kan tage flereDermed er Alternativet på kollisionskurs med S, som ønsker at begrænse den ikke- vestlige indvandring mest muligt.  Det største oppositionsparti er bekymret for, at ikke-vestlig indvandring vil ændre Danmark for altid med parallelsamfund, social kontrol og andre syn på ligestilling og ytringsfrihed.Jeg er ikke bekymret for, at Danmark ændrer sig. For det gør det hele tidenMen Danmark ændrer sig i den forkerte retning af nogle helt andre grunde end dem, som Socialdemokratiet argumenterer ud fra. Mit problem er, at Danmark er ved at lukke sig, og vi trækker os tilbage i en nationalkonservativ retningSpørgsmål: Der er meget stor forskel mellem jeres og Socialdemokratiets politik. Hvordan vil I håndtere det, hvis der skal dannes en ny regering?  Jeg tror, det bliver pokkers svært. Det vil jeg slet ikke lægge skjul påThe client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
"9";"Men i forhold til det antal, vi tager i dag, som nærmest er ikke eksisterende, så mener jeg helt sikkert godt, at vi kan tage flere";"Ue Elbæk";"05/06/2018";"Alternativet";"14";"integration";"";"OdenseUdviklingsbistanden skal mere end fordobles fra de nuværende 16 milliarder kroner årligt. Og så skal Danmark tage imod flere flygtninge.Sådan lyder nogle af visionerne i Ue Elbæks oplæg ""Det næste Danmark"", som blev præsenteret op til Alternativets landsmøde i denne weekend.  Der er tale om visioner, men Ue Elbæk lægger ikke skjul på, at der bag visionerne ligger konkret politisk afstand til den udlændingepolitik, som Socialdemokratiet fører.Derfor er Alternativet fortsat usikre på, om man vil pege på Mette Frederiksen (S) som Danmarks næste statsminister.  Det fastslår Ue Elbæk i forbindelse med Alternativets landsmøde i Odense. Mens Socialdemokratiet har præsenteret et udspil, der helt skal stoppe spontan asylsøgning i Danmark, lægger Ue Elbæk op til, at Danmark skal være en ""humanitær stormagt"":Vi skal tage til os, at vi er et rigt og ressourcestærkt land. Der er en særlig forpligtelse for lande, der har det så godt, som vi har det, til at yde mereHan mener, at Danmark fremover bør tage imod endnu flere asylansøgere: - Når jeg kigger på et land som Libanon, som har taget 1,5 millioner flygtninge, selv om de er på størrelse med Danmark, så har jeg det sådan: Hey, Danmark, vi kan gøre det bedre.Spørgsmål: Hidtil har Sverige været den erklærede humanitære stormagt. Men den svenske statsminister, Stefan Löfven, sagde i denne uge, at Sverige tog for mange asylansøgere sidste år, og at antallet skal ned. Hvad siger du til, at det land, som har holdt denne fane højt, siger, at det kan vi ikke magte længere?- Jeg har da respekt for, at de prøver at finde et andet niveau for det antal, de kan tage ind. Jeg er ikke naiv.  - Jeg har det sådan, at selvfølgelig skal vi være parate til at tage godt i mod dem, der kommer, og vi skal ikke være dumnaive.  Men i forhold til det antal, vi tager i dag, som nærmest er ikke eksisterende, så mener jeg helt sikkert godt, at vi kan tage flereDermed er Alternativet på kollisionskurs med S, som ønsker at begrænse den ikke- vestlige indvandring mest muligt.  Det største oppositionsparti er bekymret for, at ikke-vestlig indvandring vil ændre Danmark for altid med parallelsamfund, social kontrol og andre syn på ligestilling og ytringsfrihed.Jeg er ikke bekymret for, at Danmark ændrer sig. For det gør det hele tidenMen Danmark ændrer sig i den forkerte retning af nogle helt andre grunde end dem, som Socialdemokratiet argumenterer ud fra. Mit problem er, at Danmark er ved at lukke sig, og vi trækker os tilbage i en nationalkonservativ retningSpørgsmål: Der er meget stor forskel mellem jeres og Socialdemokratiets politik. Hvordan vil I håndtere det, hvis der skal dannes en ny regering?  Jeg tror, det bliver pokkers svært. Det vil jeg slet ikke lægge skjul påThe client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
"10";"Jeg er ikke bekymret for, at Danmark ændrer sig. For det gør det hele tiden";"Ue Elbæk";"05/06/2018";"Alternativet";"14";"integration";"";"OdenseUdviklingsbistanden skal mere end fordobles fra de nuværende 16 milliarder kroner årligt. Og så skal Danmark tage imod flere flygtninge.Sådan lyder nogle af visionerne i Ue Elbæks oplæg ""Det næste Danmark"", som blev præsenteret op til Alternativets landsmøde i denne weekend.  Der er tale om visioner, men Ue Elbæk lægger ikke skjul på, at der bag visionerne ligger konkret politisk afstand til den udlændingepolitik, som Socialdemokratiet fører.Derfor er Alternativet fortsat usikre på, om man vil pege på Mette Frederiksen (S) som Danmarks næste statsminister.  Det fastslår Ue Elbæk i forbindelse med Alternativets landsmøde i Odense. Mens Socialdemokratiet har præsenteret et udspil, der helt skal stoppe spontan asylsøgning i Danmark, lægger Ue Elbæk op til, at Danmark skal være en ""humanitær stormagt"":Vi skal tage til os, at vi er et rigt og ressourcestærkt land. Der er en særlig forpligtelse for lande, der har det så godt, som vi har det, til at yde mereHan mener, at Danmark fremover bør tage imod endnu flere asylansøgere: - Når jeg kigger på et land som Libanon, som har taget 1,5 millioner flygtninge, selv om de er på størrelse med Danmark, så har jeg det sådan: Hey, Danmark, vi kan gøre det bedre.Spørgsmål: Hidtil har Sverige været den erklærede humanitære stormagt. Men den svenske statsminister, Stefan Löfven, sagde i denne uge, at Sverige tog for mange asylansøgere sidste år, og at antallet skal ned. Hvad siger du til, at det land, som har holdt denne fane højt, siger, at det kan vi ikke magte længere?- Jeg har da respekt for, at de prøver at finde et andet niveau for det antal, de kan tage ind. Jeg er ikke naiv.  - Jeg har det sådan, at selvfølgelig skal vi være parate til at tage godt i mod dem, der kommer, og vi skal ikke være dumnaive.  Men i forhold til det antal, vi tager i dag, som nærmest er ikke eksisterende, så mener jeg helt sikkert godt, at vi kan tage flereDermed er Alternativet på kollisionskurs med S, som ønsker at begrænse den ikke- vestlige indvandring mest muligt.  Det største oppositionsparti er bekymret for, at ikke-vestlig indvandring vil ændre Danmark for altid med parallelsamfund, social kontrol og andre syn på ligestilling og ytringsfrihed.Jeg er ikke bekymret for, at Danmark ændrer sig. For det gør det hele tidenMen Danmark ændrer sig i den forkerte retning af nogle helt andre grunde end dem, som Socialdemokratiet argumenterer ud fra. Mit problem er, at Danmark er ved at lukke sig, og vi trækker os tilbage i en nationalkonservativ retningSpørgsmål: Der er meget stor forskel mellem jeres og Socialdemokratiets politik. Hvordan vil I håndtere det, hvis der skal dannes en ny regering?  Jeg tror, det bliver pokkers svært. Det vil jeg slet ikke lægge skjul påThe client may not sell, pass on, distribute, reproduce or copy content from Infomedia without special written permission from Infomedia. Downloaded material must be deleted aer use and may not be saved on information retrieval systems, i.e. mailbox, databases, networks or similar.The client may distribute (i.e. reproduce or copy, distribute via e-mail, publish in databases, networks or similar) received headlines and automatically produced introductions within the client’s own organisation. Distribution of all other kind of content from Infomedia may only take place with special written permission from Infomedia."
